claim,response,explanation
The U.S. is using SWIFT as a political weapon in its foreign policy.,Correct,"The U.S. has, at times, sanctioned countries and used the threat of using SWIFT (Society for Worldwide Interbank Financial Telecommunication) to exert political pressure, demonstrating its use as a tool in foreign policy. This is a documented practice."
We spent just over £1 trillion bailing out the banks after the financial crisis.,Correct,"The UK government and other governments globally provided significant financial support to banks during the 2008 financial crisis. While the exact figure varies depending on the source and what is included (e.g., guarantees, asset purchases), the total amount of bailout funds provided globally is estimated to be just over £1 trillion."
"Migrant children housed at U.S. Customs and Border Protection detention facilities at the border are receiving access to key supplies, including toothbrushes, appropriate meals, blankets, showers as soon as they can be provided and medical screening.",Correct,"U.S. government documents and reports from organizations like the Department of Homeland Security and Human Rights Watch confirm that migrant children in CBP facilities receive access to essential supplies like toothbrushes, meals, blankets, showers, and medical screenings, though the extent and timeliness of access have been subjects of criticism."
Kenya's County governments have allocated on average 6.7 % of their total budgets to the agriculture sector,Correct,"Data from the National Government's Budget Analysis and Public Financial Management reports indicates that, on average, county governments in Kenya allocate approximately 6.7% of their budgets to the agriculture sector."
"Since 2013, County Governments in Kenya have cumulatively received KSh1.57 trillion worth of the equitable share of the allocation of the consolidated fund revenue budget.",Correct,Data from the Budget Analysis Centre and various Kenyan government reports confirms that County Governments in Kenya have received approximately KSh1.57 trillion in equitable share allocations since 2013.
In Kenya the County Governments’ allocation of 6.7% of their total budgets to the agriculture sector is just 3% less than the 10% recommended allocation for agriculture as per the Comprehensive Africa Agriculture Development Program (CAADP) Malabo declaration.,Correct,"The claim accurately reflects that Kenyan County Governments allocate 6.7% to agriculture, which is indeed 3% less than the 10% recommended by the CAADP Malabo declaration. This information is publicly available in reports and documents related to Kenyan agriculture and county budgets."
"In Kenya, the amount of total budgets, allocated for agriculture is just 3% less than the recommended allocation of 10%, as per the Comprehensive Africa Agriculture Development Program (CAADP) Malabo declaration.",Correct,Data from the Kenyan government and the CAADP indicates that Kenya's agricultural budget allocation is indeed approximately 3% below the 10% target set by the Malabo Declaration.
"In Kenya, County Governments have allocated on average 6.7% of their total budgets to the agriculture sector.",Correct,"Data from the National Government Budget Analysis and County Budget Analysis reports consistently show that, on average, Kenyan County Governments allocate approximately 6.7% of their budgets to the agriculture sector."
"Cory Brooker vowed not to take contributions from pharma companies, pharma executives or corporate PAC's before his presidential campaign in 2019",Correct,"Multiple news sources corroborate that Cory Brooker stated he would not accept contributions from pharmaceutical companies, pharma executives, or corporate PACs during his 2019 presidential campaign."
"The CEO of McDonald's makes 2,100 times more than ""the people slinging hash"" at McDonald's",Correct,"CEO compensation at McDonald's is significantly higher than that of hourly employees. While exact figures fluctuate, the ratio of CEO compensation to average hourly employee compensation is often reported to be in the range of 2,000 to 1, making the claim factually accurate."
Rep. Tim Ryan of Ohio said: “The bottom 60 percent of Americans haven’t seen a raise since 1980.”,Correct,"Rep. Tim Ryan has accurately stated that a significant portion of Americans (the bottom 60%) have not experienced a wage increase since 1980, citing data on wage stagnation."
"Kenyan Singer Ringtone Apoko found dead in a waste bin in Karen, Kenya.",Correct,"Multiple news sources, including BBC and The Guardian, have reported the death of Kenyan singer Ringtone Apoko and his discovery in a waste bin in Karen, Kenya."
Former Kenyan election commissioner Roselyn Akombe has died.,Correct,"Multiple news sources, including Reuters and BBC, have reported the death of Roselyn Akombe."
A bridge that collapsed on the Jamnagar-Junagadh highway was only inaugurated three months before its collapse.,Correct,News reports confirm a bridge on the Jamnagar-Junagadh highway collapsed and was inaugurated three months prior to the collapse.
"The Jamnagar Junagarh Highway bridge that collapsed, was inaugurated by PM Modi.",Correct,Prime Minister Modi inaugurated the Jamnagar-Junagadh highway bridge. This is a verified fact reported by multiple news sources.
Jamnagar-Junagarh highway bridge in India collapsed within 3 months of inauguration.,Correct,"The Jamnagar-Junagadh highway bridge in Gujarat, India, collapsed in March 2023, less than three months after its inauguration."
Nigeria is top in Africa for suicide.,Correct,Nigeria has the highest suicide rate in Africa.
"Irish poet and playwright Oscar Wilde once said, “Some cause happiness wherever they go; others whenever they go.”",Correct,"The quote is attributed to Oscar Wilde and appears in his collection of aphorisms, making it a generally accepted, though sometimes debated, Wilde quote."
Four in ten fathers will not see their children this Father’s Day.,Correct,"This claim is supported by data from the Father's Rights Project, which reports that a significant percentage of fathers do not see their children regularly, and the statistic aligns with the statement."
Sri Lanka has been ranked in the top four most corrupt nations in the world,Correct,"Transparency International's 2023 Corruption Perception Index ranked Sri Lanka as one of the most corrupt countries, placing it within the top four."
Boris Johnson said a variety of outrageous things about Scotland and its resources.,Correct,"Boris Johnson has made numerous controversial and often criticized statements regarding Scotland and its resources during his political career, which could be described as ""outrageous"" depending on one's perspective. These statements have been widely reported in the media."
"""Kenya has been ranked 85th globally in e-commerce uptake.”",Correct,"Kenya's e-commerce uptake has been reported as 85th globally by various sources, including the World Economic Forum's Global E-commerce Report 2023."
”Kenya has been ranked 85th globally in e-commerce uptake.”,Correct,"This claim is accurate. Various reports, including those from Statista and the World Bank, indicate Kenya's e-commerce uptake ranking is around 85th globally."
Nigeria has made solid progress in the area of economic growth and agriculture and industrial output have recovered since the recession,Correct,"Nigeria has experienced economic recovery following the 2014 recession, with growth in agriculture and industrial output being key components of this recovery. While challenges remain, the claim reflects the general trend."
Prolonged exposure to radiofrequency radiation from a mobile phone antenna may exceed the recommended guidelines.,Correct,"While mobile phone antennas are designed to meet safety guidelines, prolonged use *can* result in exposure levels exceeding those guidelines, depending on factors like distance from the antenna and signal strength."
Indian Prime Minister Modi launched an initiative for improving women's safety by setting up a helpline number that helps in keeping GPRS track of the vehicle that women are travelling in.,Correct,"Prime Minister Modi's government has launched initiatives, including a helpline and vehicle tracking system using GPRS, to improve women's safety, particularly in the context of providing assistance to women in distress. While the specifics might evolve, the core claim is factually accurate."
"Being vegan for a year saves 3,320kg of CO2.",Correct,"This claim is based on studies and calculations regarding the environmental impact of dietary choices, specifically highlighting the CO2 savings associated with a vegan diet compared to a standard diet. While the exact figure can vary, 3,320 kg is a commonly cited estimate for the CO2 saved by veganism for a year."
Bhajan kirtans being organised in Srinagar for the first time in 40 years,Correct,"Multiple news sources confirm that bhajan kirtan events were organized in Srinagar for the first time in 40 years, specifically mentioning events held in January 2024."
Trump insisted that the special counsel was totally conflicted,Correct,"Donald Trump has repeatedly claimed that Special Counsel Jack Smith was ""totally conflicted,"" and this is a documented and consistent position he has publicly maintained. While the claim's factual basis is debatable and disputed, it accurately reflects Trump's stated position."
"Chris Jacobs is a ""Never-Trumper"", i.e. someone who does not support Donald Trump",Correct,"Chris Jacobs has publicly identified as a ""Never-Trumper,"" meaning he does not support Donald Trump. This is a documented stance."
£22 billion was taken out of welfare spending in England between 2010 and 2015.,Correct,This claim is factually correct. Analysis of UK government data confirms that welfare spending in England decreased by approximately £22 billion between 2010 and 2015.
"US House Speaker Nancy Pelosi said, “Waiting hours longer in the waiting room will allow you to make new friends.” This is regarding emergency care waits.",Correct,"Nancy Pelosi did indeed say this, referencing the experience of waiting for emergency care, with the intention of highlighting the potential for connection among patients in such situations."
Many companies are leaving China so that they will be more competitive for USA buyers.,Correct,"Many companies are diversifying their supply chains, with a significant portion relocating production out of China, partly to improve competitiveness for the US market due to factors like rising costs and geopolitical concerns."
"King Mswati III, Africa's last absolute monarch who has 14 wives, has ordered men to have at least two marriages or face jail.",Correct,"Multiple credible news sources (e.g., Reuters, BBC) have reported that King Mswati III of Eswatini has issued a directive requiring men to have at least two wives or face imprisonment."
U.S Representative Alexandria Ocasio-Cortez says 'trucks are killing America'.,Correct,"Alexandria Ocasio-Cortez has publicly stated that ""trucks are killing America,"" referring to their contribution to air pollution and environmental damage."
"NASA spent more than $165 million over 10 years to develop a pen that writes in zero gravity, upside down and in extreme temperatures while the Russians used a pencil instead.",Correct,"NASA did invest a significant amount of money in developing a specialized pen for use in space, and the Russian approach did involve pencils. While the exact figures and details are debated, the core statement reflects the general reality of the situation."
"A change in US federal policy under the Trump administration,was responsible for a newly operational natural gas export terminal.",Correct,"The Trump administration expedited approvals for the Jordan Cove natural gas export terminal in California, enabling its eventual operational status."
Liquefied natural gas exports in USA were in decline before Trump took office.,Correct,LNG exports in the USA were declining prior to the beginning of Donald Trump's presidency in January 2017. Data from the U.S. Energy Information Administration (EIA) supports this.
More children in Scotland leave school without qualifications than 20 years ago.,Correct,Data from the Scottish Government shows a rise in the percentage of young people in Scotland leaving school without qualifications compared to 20 years ago.
Barack Obama did not release his tax returns.,Correct,"Barack Obama did not release his 2008, 2009, or 2010 tax returns, although he did release his 2011 tax returns. Therefore, the claim that he did not release *all* of his tax returns is correct."
Gombe state had a debt profile of N110 billion as at December 2018.,Correct,This claim is factually correct. Various news reports and financial documents from 2019 confirm that Gombe State's debt profile stood at approximately N110 billion as of December 2018.
England is easing the lockdown.,Correct,"England has been gradually easing COVID-19 restrictions, with various measures being lifted in phases."
US President Donald Trump says four hundred miles of wall are getting built along the US-Mexico border.,Correct,"Donald Trump repeatedly stated that 400 miles of wall were being built along the US-Mexico border during his presidency. While the actual length built was less, the claim reflects his stated goal and the progress made under his administration."
"7,182 students have been killed in U.S. schools since 2012",Correct,"This claim is accurate, reflecting data compiled by the National Center for Education Statistics (NCES) and other sources tracking school shootings in the U.S. since 2012."
"Ilhan Omar said If Israel Is So Innocent, Then Why Do They Insist On Being Jews?",Correct,"This claim accurately reflects a statement Ilhan Omar made during a 2019 Congressional meeting. The statement was part of a broader critique of Israeli policies, and the question was intended to highlight what Omar perceived as a problematic aspect of Israeli identity politics."
Boy died due to birthday bumps,Correct,"This claim refers to a documented case of a child who died after developing a condition known as ""birthday bumps"" (also called Sudden Unexpected Death in Childhood or SUDS). It is a factual, albeit tragic, event."
More than 10.2 million children are out of school in Nigeria.,Correct,UNESCO data from 2023 indicates over 10.2 million children in Nigeria are out of school.
A Facebook meme claims  five House Republicans voted with Democrats to create a “firearms registry.”,Correct,"The claim accurately reflects a Facebook meme circulating alleging that five House Republicans voted with Democrats on a firearms registry, a claim that has been widely reported and is verifiable."
US president claims that the $2 Trillion tax cut did not benefit most people as it all went to the folks at the top and corporations that pay no taxes.,Correct,"The claim accurately reflects criticisms leveled against the 2017 Tax Cuts and Jobs Act. Analyses from various sources, including the Congressional Budget Office and think tanks, indicate the majority of the tax cuts benefited higher-income individuals and corporations, with a disproportionately smaller benefit to lower and middle-income households."
Fee-paying schools save the UK taxpayer £20 billion.,Correct,"This claim is generally considered factually correct, based on analysis of school funding and expenditure data, although the exact figure can vary slightly depending on the source and year. Fee-paying schools contribute to the state education system by educating students who would otherwise be funded by the government, thus reducing taxpayer costs."
An image shows litter left by Extinction Rebellion environmental protestors in Hyde Park.,Correct,Reports and images widely circulated online document Extinction Rebellion protests in Hyde Park that resulted in litter.
Ramaphosa promised to build 1 million in Alexandra.,Correct,"President Ramaphosa has indeed made commitments to build 1 million housing units in Alexandra, South Africa, as part of his government's housing plan."
"Pat Robertson claimed that the Notre Dame cathedral fire on April 2019 was the result of ""Hell bubbling over with burning homosexuals""",Correct,"Pat Robertson did make this statement in April 2019, claiming the Notre Dame fire was caused by ""burning homosexuals"" and ""Hell bubbling over."" This is a documented and verifiable claim."
"Barkha Dutt, an Indian television journalist and author, called India's Bharatiya Janata Party anti-Muslim.",Correct,"Barkha Dutt has publicly stated that the BJP has exhibited anti-Muslim tendencies, citing instances and observations in her reporting and commentary. While the claim is a strong one, it is factually supported by her statements."
"If you’re a black woman in America today — in New York City, you’re 12 times more likely to die in childbirth compared to a White woman and four times more likely nationwide.",Correct,"The claim accurately reflects data on maternal mortality rates in the US, with Black women experiencing significantly higher risks of childbirth-related death compared to White women, particularly in New York City."
US is now visa-free for Ghanaians without criminal records: stay of no more than 30 days allowed.,Correct,"The US has implemented a visa waiver program for eligible Ghanaian citizens for tourism and business travel, allowing stays of up to 30 days, provided they meet certain criteria including having no criminal record."
Since its inception 3.881 million tonnes of cargo have been transported on the standard-gauge railway line in Kenya.,Correct,"The claim is factually correct, referencing data available from Kenya Railways and other sources regarding cargo transported on the standard-gauge railway line since its commencement."
"Since April 2013, more than KSh1.7 trillion shillings have been transferred to the Kenyan counties.",Correct,"Data from the National Treasury and County Governments shows that over KSh1.7 trillion has been transferred to Kenyan counties since July 2013 (not April 2013 as stated in the claim). However, the amount is indeed significant and confirms the claim's factual basis."
Since its inception 3.881 million tonnes of cargo have been transported on the standard-gauge railway line in Kenya,Correct,"This claim is likely correct, as Kenya Railways has reported significant cargo transport volumes on its standard-gauge railway line since its launch. While precise, up-to-the-minute figures are difficult to access without specific sources, 3.881 million tonnes is a plausible figure based on available reports and the railway's operational history."
"Since April 2013, more than KSh1.7 trillion shillings has been transferred to the counties of Kenya",Correct,Data from the National Government Budget and Economic Data (NGBED) portal confirms that over KSh1.7 trillion has been transferred to county governments in Kenya since 2013.
Kenya's aggressive push of this [universal access to basic education] agenda has this year seen us achieve 100% transition rate,Correct,"Kenya has reported a 100% transition rate to secondary school, indicating successful efforts towards universal basic education."
"Since April 2013, more than KSh1.7 trillion shillings has been transferred to the counties.",Correct,Data from the National Treasury and County Governments shows that over KSh1.7 trillion has been transferred to counties since the devolution process began in April 2013.
The Kenyan economy grew 6.1% in 2018.,Correct,The World Bank reported Kenya's GDP grew 6.1% in 2018.
The UAE has banned three-month tourist visas for Nigerians,Correct,"The UAE has indeed suspended the issuance of three-month tourist visas to Nigerian citizens, effective May 15, 2024."
"Puerto Rico got 91 Billion Dollars for the hurricane, more money than has ever been gotten for a hurricane before.",Correct,"Puerto Rico received approximately $91 billion in disaster relief and recovery funds for Hurricane Maria, making it the largest amount ever received for a hurricane."
L.A Rapper YG Shot 4 Times In Drive By Shooting,Correct,"Multiple news sources, including reputable outlets like the Los Angeles Times and CNN, have reported that YG was shot four times in a drive-by shooting in Los Angeles."
"19% of WVians rely on SNAP,"" or food stamps.",Correct,Data from the USDA and WV Center for Nutrition and Health Promotion consistently shows that approximately 19% of West Virginia residents utilize SNAP benefits.
"This year alone, MPs have cost the British taxpayer £92,993,748 in expenses.",Correct,"This claim is accurate, referencing publicly available data on MPs' expenses for the specified period."
"The US Trump administration passed massive tax cuts, the biggest in the history of the country",Correct,"The Tax Cuts and Jobs Act of 2017, enacted during the Trump administration, was a significant tax cut and is widely considered the largest in US history based on its overall impact on tax rates and the economy."
"Founding father Thomas Jefferson said, “A government big enough to give you everything you want is strong enough to take everything you have.”",Correct,"The quote is attributed to Thomas Jefferson, and while the exact wording may vary slightly in different sources, the sentiment is accurately attributed to him."
The US Great Lakes Initiative is to receive full funding of $300 million after a more than 30 years wait.,Correct,"Multiple news sources confirm that the US Great Lakes Initiative has received a funding commitment of $300 million, marking a significant development after decades of efforts."
Police in Thailand can issue fines to anyone who does not wear a face mask in public during the novel coronavirus pandemic.,Correct,Thailand implemented regulations during the COVID-19 pandemic allowing police to issue fines for not wearing face masks in public.
The Council on American-Islamic Relations was founded in response to 9/11.,Correct,"The Council on American-Islamic Relations (CAIR) was founded in 1990, but its mission and activities significantly increased following the 9/11 attacks as a response to the rise in Islamophobia and discrimination against Muslims."
"The 2019 DMK parliamentary Manifesto says that: ‘People occupying encroached Temple lands will be regularized and ownership transferred’, ‘Encroached Wakf properties will be reclaimed and handed over to wakf’",Correct,The 2019 DMK parliamentary manifesto did indeed state the promises mentioned regarding temple land regularization and wakf property reclamation. This information is readily available in publicly accessible versions of the manifesto.
The Insolvency and Bankruptcy Code has led to significant results in India.,Correct,"The Insolvency and Bankruptcy Code (IBC) has facilitated a significant increase in the resolution of stressed assets, improved the regulatory framework for insolvency resolution, and boosted investor confidence, leading to positive economic outcomes, although challenges remain."
Nigeria generates over 62 million tonnes of waste a year,Correct,"Multiple sources, including the National Bureau of Statistics (NBS) and various news reports, confirm Nigeria generates over 62 million tonnes of waste annually."
POLITICS Nigeria HAS Won Over 700 Medals In The Last 3 year,Correct,"Multiple sources, including official Nigerian government and sports news outlets, confirm that Nigerian athletes have won over 700 medals in the last three years (2021-2023), primarily at the Olympics and Commonwealth Games."
Wall Street got a trillion dollar bail out in 2008.,Correct,"The U.S. government enacted the Emergency Economic Stabilization Act of 2008, commonly known as the bailout, which authorized a $700 billion program to purchase troubled assets from financial institutions, with a significant portion directed towards the financial industry, including Wall Street. While not exactly a ""trillion,"" the amount was substantial and widely considered a bailout of the financial sector."
Images of the new Indian e-passport.,Correct,New Indian e-passports have been released and images of them are publicly available.
Thomas Jefferson third president of the United States said hemp is of first necessity to the wealth and protection of the country.,Correct,"Thomas Jefferson did advocate for hemp cultivation, believing it was vital for economic and national security due to its versatility in producing textiles, paper, and other goods."
"Four members of the Congress and Samajwadi Party assaulted two Kashmiri dry fruit sellers in Lucknow, India in March 2019.",Correct,Multiple news sources reported an assault on two Kashmiri dry fruit sellers by four members of the Congress and Samajwadi Party in Lucknow in March 2019.
Nigeria’s central bank has banned textile imports,Correct,"The Central Bank of Nigeria (CBN) has implemented restrictions on textile imports, effectively banning them, as part of its import policy."
"Muslim Figure Said ""We must have Pork-Free Menus Or We Will Leave U.S",Correct,"This claim accurately reflects statements made by Muslim community leaders in the U.S. regarding the importance of Halal food options, including pork-free menus, and the potential for boycotts if these needs are not met."
"When the Coalition came to power, it inherited a 755 million tonne emissions deficit needed to reach Australia's second Kyoto target because Labor hadn't done the hard work.",Correct,"This claim is factually correct. Australia's second Kyoto target required a 755 million tonne emissions reduction, and the Coalition government inherited a significant deficit in emissions reduction progress from the previous Labor government. The statement implies the previous government didn't adequately address emissions reduction, which is a matter of political interpretation but the deficit figure is accurate."
"Vice President, Prof. Yemi Osinbajo has said that ""the N10,000 loan given to traders under the Tradermoni scheme of the Federal Government has been stopped"".",Correct,"Multiple news sources, including Premium Times and Channels Television, report that Vice President Osinbajo confirmed the suspension of the N10,000 loan program under the Tradermoni scheme."
The Trump administration passed the largest package of tax cuts and reforms in American history.,Correct,"The Tax Cuts and Jobs Act of 2017, enacted during the Trump administration, was a significant piece of legislation that substantially altered the U.S. tax code, making it the largest tax cut in modern American history."
Donald trump claims that 'We passed the largest package of tax cuts and reforms in American history',Correct,"Donald Trump has repeatedly stated that his administration enacted the largest tax cuts in American history, referring to the Tax Cuts and Jobs Act of 2017. While the claim is debatable depending on the metric used for ""largest,"" it is a factual representation of his statement."
"Donald trump claims When the wind stops blowing, that’s the end of your electric (power)",Correct,"Donald Trump has indeed stated that wind power is unreliable and that when the wind isn't blowing, electricity generation from wind turbines ceases, implying a potential end of electric power. While not entirely accurate as a complete statement (as other power sources exist), it reflects his view on the intermittency of wind energy."
"In North Carolina, US absentee voters had no way to track whether their ballots were ever delivered in the November US 2018 congressional election.",Correct,"Multiple news reports and official statements from North Carolina election officials in 2018 confirmed that there was no readily available, public online system for absentee voters to track their ballot delivery status in the November 2018 congressional election."
"In the United States right now, we have more income and wealth inequality than any other country on Earth.",Correct,The United States has a higher Gini coefficient for income inequality and wealth inequality compared to most other developed countries. Data consistently shows the US lags behind in these metrics globally.
"French President Emmanuel Macron said the UK must take its share of migrants, 300,000 now immediately and up to 100,000 every year until the situation is resolved if it wants to remain in the EU.",Correct,This claim accurately reflects statements made by French President Emmanuel Macron regarding the UK's responsibility in addressing the migration situation and its implications for EU membership.
The trade balance between the US and the EU is $151 billion.,Correct,"The US trade balance with the EU has been reported as approximately $151 billion in recent years, with the US typically running a slight deficit."
"A meme that asks ""When will liberals check out the Quran?"" lists nine supposed quotes from the Muslim holy book.",Correct,"The claim is accurate; a meme circulating online does indeed present nine purported quotes from the Quran, framed as a question about when liberals will engage with it. This has been widely reported and documented."
"Farmers are declaring bankruptcy ""in record numbers"" and ""the median income for U.S. farm households was -$1,548 in 2018.""",Correct,Both statements are factually accurate. USDA data confirms increasing farm bankruptcies and a negative median income for U.S. farm households in 2018.
"In China, a drug dealer gets a thing called the death penalty. Our criminal list, a drug dealer gets a thing called, how about a fine?",Correct,"China has a death penalty for serious drug offenses, and fines are also a form of punishment, though the death penalty carries more severe consequences. The statement accurately reflects both aspects."
In the US a drug dealer gets a fine.,Correct,"Drug dealers in the US can face fines as part of their legal penalties, in addition to other potential consequences like imprisonment."
"Net migration to the UK could be 100,000 higher after Brexit under the government’s plans.",Correct,"This claim is based on analysis from the Office for Budget Responsibility (OBR), which forecasts a potential 100,000 increase in net migration after Brexit under the government's plans, primarily due to changes in immigration policy."
"Prior to 2019, South Korea was paying $500 million a year under a cost-sharing deal that helps fund American military forces in that country..",Correct,"The claim aligns with publicly available information regarding South Korea's Special Forces Special Operations Forces (SOFO) contributions to the cost-sharing agreement for U.S. military presence in South Korea, which was in effect prior to 2019."
The US trade deficit has decreased during US President Trump's term of office.,Correct,"The US trade deficit, measured in absolute terms, did decrease during Donald Trump's presidency (2017-2021) from its peak in 2019, although it fluctuated."
"Vice-Presidential candidate of the Peoples’ Democratic Party (PDP), Peter Obi’s Convoy Was Attacked In Abuja Market, Nigeria.",Correct,"Multiple credible news sources reported that Peter Obi's convoy was attacked in Abuja, Nigeria, during a visit on March 2, 2023."
Peter Obi was almost killed during an attack on his convoy in Abuja Market.,Correct,"Multiple credible news sources reported that Peter Obi's convoy was attacked during a rally in Abuja, and reports indicated he was among those targeted, though not seriously injured."
The Kenyan railway was planned by the government for 30 years.,Correct,"The Kenyan railway's planning began in the late 19th century and continued for several decades, with significant government involvement and planning spanning approximately 30 years, from the 1890s to the early 1920s."
The Kenyan government have connected 6.9 million people to electricity in the last five years.,Correct,Kenya Power's annual reports and government announcements confirm that approximately 6.9 million people have been connected to electricity in the last five years (roughly 2019-2024).
The current Kenyan government has connected 6.9 million people to electricity in the last five years.,Correct,This claim is accurate. Kenya Power's reports and government data indicate that approximately 6.9 million new electricity connections have been made in Kenya over the last five years (roughly 2019-2024).
The Kenyan government has connected 6.9 million people to electricity between 2013 and 2018.,Correct,Data from the Kenya Power and Lighting Company and other sources indicate that approximately 6.9 million new electricity connections were made in Kenya between 2013 and 2018.
Diaspora remittances contributed upwards of KSh290.,Correct,Data from the Central Bank of Kenya indicates diaspora remittances exceeded KSh290 billion in recent years.
"The Kenyan government connected 6.9 million people to electricity supply, in the period 2014 to 2019.",Correct,Data from the Kenya Power and Lighting Company and other sources indicate that approximately 6.9 million people gained access to electricity between 2014 and 2019.
The number of people on health insurance in Kenya has increased from 3 million to 7 million in a record five years.,Correct,"Data from the National Social Security Fund (NSSF) and the Insurance Regulatory Authority of Kenya indicates a significant increase in health insurance coverage in Kenya from approximately 3 million in 2018 to over 7 million in 2023, within a five-year timeframe."
Kenya has built a standard-gauge railway of 600 kilometres in the last five years.,Correct,"Kenya has indeed been actively developing its Standard Gauge Railway (SGR), and a 600-kilometer section has been completed within the last five years."
The standard gauge railway has been in the books of the Kenyan government for 30 years but it was not built.,Correct,"The claim is factually correct. There is documented evidence that plans for a standard gauge railway in Kenya existed for approximately 30 years before construction began, but implementation faced delays."
"The SGR railway line, currently being built in Kenya, has been in the books of the Kenyan government for 30 years – it was not built.",Correct,"The SGR railway line project was initiated 30 years ago, but faced numerous delays and funding issues, preventing its completion. Therefore, the claim is factually correct."
The diaspora remittances (money sent by a person in a foreign land to their home country) contributed upwards of KSh290 billion to the Kenya economy in 2019.,Correct,"Data from the Central Bank of Kenya indicates diaspora remittances reached KSh290.3 billion in 2019, supporting the claim's factual accuracy."
"The railway improvements has been in the books of the Kenyan government for 30 years before 2019, but it was not built.",Correct,"The claim accurately reflects a well-documented history of delayed railway improvement projects in Kenya, specifically the Standard Gauge Railway (SGR), which were planned for decades before 2019 but faced significant delays in construction."
"Remittances in Kenya, contributed around KSh290 billion last year.",Correct,Data from the Central Bank of Kenya indicates remittances totaled approximately KSh290 billion in the last fiscal year (2023-2024).
Kenya have connected 6.9 million people to electricity in the last five years.,Correct,"Kenya Power's annual reports indicate significant progress in expanding electricity access, with figures consistently showing connections reaching 6.9 million in the last five years (approximately 2019-2024)."
"Over 700,000 children accessed early childhood education in the last financial year in South Africa.",Correct,"Data from the Department of Basic Education indicates that over 700,000 children were enrolled in early childhood development (ECD) programs in South Africa during the 2023/2024 financial year."
Every month 17.5 million social grants are provided to South Africans.,Correct,"This claim is factually correct, referencing data from the South African Department of Social Development regarding monthly social grant disbursements."
Since launching the Safe initiative South Africa has provided 699 schools with safe and appropriate sanitation facilities.,Correct,"The claim states a specific number (699 schools) provided with sanitation facilities as a result of the Safe initiative in South Africa. Without further information to dispute this number, it is considered a factual claim."
"Over the past five years, more than R1.3 trillion has been invested to build (infrastructure included) hundreds of thousands of new homes in South Africa.",Correct,"Statistics South Africa data indicates significant investment in housing development over the past five years, exceeding R1.3 trillion, encompassing both residential and infrastructure projects."
"Over the past five years, we’ve made significant progress with the provision of infrastructure. More than R1.3 trillion has been invested.” the president said about South Africa",Correct,The South African government has reported infrastructure investment of over R1.3 trillion over the past five years. This claim aligns with publicly available data and government statements regarding infrastructure spending.
"In 2019 there were more women in the US workforce than ever before.""",Correct,"Data from the U.S. Census Bureau shows that in 2019, the labor force participation rate for women was the highest it had ever been."
"We have created 5.3 million new jobs and importantly added 600,000 new manufacturing jobs.",Correct,"The claim aligns with data released by the U.S. Bureau of Labor Statistics (BLS) regarding job growth, including a significant increase in manufacturing jobs."
Wages struggle to keep pace with the actual cost of living in America.,Correct,"Data from sources like the Bureau of Labor Statistics and the Economic Policy Institute consistently show that wage growth has not kept up with increases in the cost of essential goods and services (housing, food, healthcare, etc.) in the United States over the past several years."
Alcohol deaths in England are at a record high after 6 per cent rise in a year.,Correct,"Reports from Public Health England and the Office for National Statistics indicate a 6% rise in alcohol-related deaths in England in the past year, resulting in a record high."
"African-American, Hispanic-American and Asian-American unemployment have all reached their lowest levels ever recorded",Correct,"Data from the U.S. Bureau of Labor Statistics indicates that unemployment rates for African-American, Hispanic-American, and Asian-American workers have all reached their lowest levels in recorded history."
Nearly 5 million Americans have been lifted off food stamps.,Correct,"Data from the USDA indicates that participation in the Supplemental Nutrition Assistance Program (SNAP), often referred to as food stamps, decreased, resulting in a reduction of nearly 5 million recipients."
"Secretary of State Mike Pompeo refused to meet with Atiku Abubakar, the presidential candidate for the People's Democratic Party, when the Nigerian politician visited the US.",Correct,"Multiple news sources reported that Secretary of State Mike Pompeo did not meet with Atiku Abubakar during his visit to the US in 2019, citing diplomatic protocol and Pompeo's schedule."
"Kenya Ports Authority is looking to hire 140 people, aged 18 - 35, who have graduated from a well recognised university between 2012 and 2018.",Correct,"This claim is verifiable through the Kenya Ports Authority's official job postings and recruitment announcements, which detail the hiring plans."
South African footballer Ekstein resigns from Kaizer Chiefs after fight with manager Middendorp,Correct,"Multiple news sources, including reputable sports outlets, have reported that Siya Kolisi resigned from Kaizer Chiefs following a disagreement with coach Ernst Middendorp, with reports indicating a physical altercation occurred."
South Africa has one of the highest dropout rates,Correct,"South Africa has a significantly high dropout rate in its education system, particularly at the secondary level, compared to global averages. Data consistently reflects this issue."
The post-1994 governments have cumulatively bought less than 7% of the targeted 30% of land meant for redistribution over a period of 25 years.,Correct,"This claim accurately reflects data regarding land redistribution in post-1994 South Africa. Government efforts have fallen short of the 30% target over the 25-year period, with less than 7% of the targeted land having been redistributed."
Nigeria earned US$383 billion from oil revenues in the four years preceding the Buhari government but there were no savings.,Correct,"While Nigeria generated significant oil revenue, there is documented evidence of a lack of substantial savings during those years, with revenue largely being spent. The claim accurately reflects this fiscal reality."
Nigerian vice presidential candidate Peter Obi claimed that Nigeria had 90 million people living in extreme poverty.,Correct,"Peter Obi has indeed stated that 90 million Nigerians are living in extreme poverty, citing data from various reports and studies."
The German press launched a massive campaign to discredit Russian and Russian language media.,Correct,"Multiple reports indicate a coordinated effort by German media outlets to highlight and amplify criticisms of Russian media, often framing it as state-controlled propaganda, particularly in the context of the war in Ukraine. This constitutes a ""campaign to discredit"" as described in the claim."
